id;type_document;type_ressource;date_publication;titre_document;url_fichier
34676;Bilans et rapports;Document;2014-04-24;Situation mensuelle de l'état - Mars 2014;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2014_03.pdf
34736;Bilans et rapports;Document;2013-11-22;Situation mensuelle de l'état - Octobre 2013;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2013_10.pdf
122433;Bilans et rapports;Document;2026-01-13;Situation mensuelle de l'Etat - novembre 2025;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/sme_2025-11.pdf
34292;Bilans et rapports;Document;2024-12-19;Situation mensuelle de l'état - Novembre 2024;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2024_11.pdf
34295;Bilans et rapports;Document;2024-11-21;Situation mensuelle de l'état - Octobre 2024;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2024_10.pdf
34349;Bilans et rapports;Document;2023-06-21;Situation mensuelle de l'état - Mai 2023;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2023_05.pdf
34535;Bilans et rapports;Document;2018-08-17;Situation mensuelle de l'état - Juillet 2018;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2018_07.pdf
34559;Bilans et rapports;Document;2018-01-23;Situation mensuelle de l'état - Décembre (provisoire) 2017;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2017_12_provisoire.pdf
34646;Bilans et rapports;Document;2015-07-24;Situation mensuelle de l'état - Juin 2015;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2015_06.pdf
34454;Bilans et rapports;Document;2020-10-21;Situation mensuelle de l'état - Septembre 2020;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2020_09.pdf
34619;Bilans et rapports;Document;2016-05-20;Situation mensuelle de l'état - Avril 2016;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2016_04.pdf
34634;Bilans et rapports;Document;2015-03-26;Situation mensuelle de l'état - Février 2015;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2015_02.pdf
34682;Bilans et rapports;Document;2014-06-19;Situation mensuelle de l'état - Mai 2014;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2014_05.pdf
34820;Bilans et rapports;Document;2012-01-24;Situation mensuelle de l'état - Décembre (provisoire) 2011;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2011_12.pdf
34388;Bilans et rapports;Document;2022-06-21;Situation mensuelle de l'état - Mai 2022;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2022_05.pdf
34448;Bilans et rapports;Document;2020-12-21;Situation mensuelle de l'état - Novembre 2020;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2020_11.pdf
34475;Bilans et rapports;Document;2020-03-20;Situation mensuelle de l'état - Février 2020;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2020_02.pdf
34547;Bilans et rapports;Document;2018-04-24;Situation mensuelle de l'état - Mars 2018;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2018_03.pdf
34583;Bilans et rapports;Document;2017-05-19;Situation mensuelle de l'état - Avril 2017;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2017_04.pdf
34781;Bilans et rapports;Document;2013-11-02;Situation mensuelle de l'état - Décembre (provisoire) 2012;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2012_12.pdf
34829;Bilans et rapports;Document;2010-03-18;Situation mensuelle de l'état - Février 2010;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2010_02.pdf
115757;Bilans et rapports;Document;2025-05-13;Situation mensuelle de l'état - Décembre 2024;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2024_12_definitive.pdf
34328;Bilans et rapports;Document;2024-01-26;Situation mensuelle de l'état - Décembre (provisoire) 2023;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2023_12_provisoire.pdf
34373;Bilans et rapports;Document;2022-11-22;Situation mensuelle de l'état - Octobre 2022;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2022_10.pdf
34400;Bilans et rapports;Document;2022-02-21;Situation mensuelle de l'état - Janvier 2022;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2022_01.pdf
34457;Bilans et rapports;Document;2020-09-21;Situation mensuelle de l'état - Août 2020;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2020_08.pdf
34463;Bilans et rapports;Document;2020-07-21;Situation mensuelle de l'état - Juin 2020;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2020_06.pdf
34700;Bilans et rapports;Document;2014-12-18;Situation mensuelle de l'état - Novembre 2014;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2014_11.pdf
119714;Bilans et rapports;Document;2025-02-09;Situation mensuelle de l'Etat - Juillet 2025;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/sme_%202025-07.pdf
34301;Bilans et rapports;Document;2024-02-10;Situation mensuelle de l'état - Août 2024;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2024_08.pdf
34313;Bilans et rapports;Document;2024-05-21;Situation mensuelle de l'état - Avril 2024;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2024_04.pdf
34316;Bilans et rapports;Document;2024-04-19;Situation mensuelle de l'état - Mars 2024;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2024_03.pdf
34499;Bilans et rapports;Document;2019-07-19;Situation mensuelle de l'état - Juin 2019;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2019_06.pdf
34703;Bilans et rapports;Document;2015-01-23;Situation mensuelle de l'état - Décembre (provisoire) 2014;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2014_12.pdf
34325;Bilans et rapports;Document;2024-03-28;Situation mensuelle de l'état - Décembre 2023;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2023_12_definitive.pdf
34445;Bilans et rapports;Document;2021-01-25;Situation mensuelle de l'état - Décembre (provisoire) 2020;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2020_12_provisoire.pdf
34517;Bilans et rapports;Document;2019-04-16;Situation mensuelle de l'état - Décembre 2018;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2018_12_definitive.pdf
